account_id,customer_id,branch_id,account_type,open_date,account_status,balance
1,1,1,Cheque,10/11/2025,Active,10376
2,2,2,Credit,2/19/2026,Closed,19735
3,3,3,Savings,8/20/2026,Active,48863
4,4,4,Cheque,10/20/2025,Dormant,12304
5,5,5,Cheque,8/2/2026,Dormant,50493
6,6,6,Cheque,12/26/2025,Dormant,22041
7,7,7,Credit,9/3/2026,Active,79821
8,8,8,Cheque,8/31/2026,Dormant,80469
9,9,9,Credit,3/3/2026,Dormant,67443
10,10,10,Savings,7/14/2026,Active,9213
11,11,1,Cheque,7/27/2026,Closed,22749
12,12,2,Cheque,4/12/2026,Dormant,51850
13,13,3,Credit,11/23/2025,Active,51558
14,14,4,Cheque,10/8/2025,Dormant,21774
15,15,5,Credit,7/17/2026,Active,44057
16,16,6,Cheque,9/13/2025,Active,73417
17,17,7,Cheque,8/13/2026,Active,27711
18,18,8,Savings,8/29/2026,Closed,91950
19,19,9,Credit,6/27/2026,Closed,35097
20,20,10,Cheque,1/5/2026,Closed,12496
21,21,1,Cheque,9/17/2025,Closed,56269
22,22,2,Credit,3/29/2026,Dormant,32514
23,23,3,Cheque,2/9/2026,Active,41010
24,24,4,Cheque,1/12/2026,Dormant,36675
25,25,5,Savings,6/9/2026,Closed,23171
26,26,6,Cheque,3/22/2026,Dormant,67283
27,27,7,Cheque,2/1/2026,Closed,73018
28,28,8,Credit,2/12/2026,Closed,10783
29,29,9,Savings,10/31/2025,Dormant,68301
30,30,10,Credit,10/4/2025,Dormant,61606
31,31,1,Cheque,8/4/2026,Closed,87525
32,32,2,Savings,1/15/2026,Dormant,12501
33,33,3,Credit,5/4/2026,Closed,33517
34,34,4,Savings,8/27/2026,Closed,13435
35,35,5,Credit,7/17/2026,Dormant,14468
36,36,6,Savings,9/7/2026,Active,44117
37,37,7,Savings,6/7/2026,Active,26737
38,38,8,Credit,12/25/2025,Closed,39022
39,39,9,Credit,5/7/2026,Closed,30903
40,40,10,Cheque,6/28/2026,Active,85346
41,41,1,Cheque,4/13/2026,Dormant,56328
42,42,2,Cheque,11/16/2025,Dormant,85766
43,43,3,Cheque,7/2/2026,Dormant,38105
44,44,4,Cheque,4/17/2026,Closed,15095
45,45,5,Savings,7/7/2026,Closed,7093
46,46,6,Credit,4/16/2026,Active,73340
47,47,7,Cheque,12/13/2025,Active,92392
48,48,8,Credit,4/27/2026,Active,25328
49,49,9,Cheque,10/24/2025,Dormant,91449
50,50,10,Savings,4/19/2026,Dormant,90661
51,51,1,Cheque,5/18/2026,Dormant,75604
52,52,2,Cheque,5/29/2026,Closed,87361
53,53,3,Credit,3/27/2026,Active,56381
54,54,4,Cheque,4/22/2026,Dormant,19809
55,55,5,Cheque,1/10/2026,Closed,22033
56,56,6,Savings,10/7/2025,Dormant,62658
57,57,7,Savings,1/3/2026,Closed,42301
58,58,8,Cheque,12/27/2025,Active,13005
59,59,9,Credit,4/29/2026,Active,14256
60,60,10,Savings,8/9/2026,Dormant,53818
61,61,1,Savings,11/25/2025,Dormant,27881
62,62,2,Cheque,11/11/2025,Closed,9304
63,63,3,Cheque,8/4/2026,Closed,5398
64,64,4,Savings,7/26/2026,Active,86851
65,65,5,Savings,5/20/2026,Active,19440
66,66,6,Credit,5/1/2026,Active,65093
67,67,7,Credit,7/28/2026,Active,6537
68,68,8,Savings,4/19/2026,Dormant,38612
69,69,9,Savings,1/21/2026,Dormant,40040
70,70,10,Savings,12/14/2025,Active,94591
71,71,1,Credit,9/26/2025,Active,14248
72,72,2,Savings,2/16/2026,Closed,94512
73,73,3,Credit,10/2/2025,Active,42021
74,74,4,Savings,5/18/2026,Dormant,75218
75,75,5,Credit,11/7/2025,Active,50332
76,76,6,Credit,3/25/2026,Dormant,68966
77,77,7,Cheque,1/30/2026,Dormant,81802
78,78,8,Savings,2/7/2026,Closed,19495
79,79,9,Credit,12/30/2025,Active,48198
80,80,10,Savings,12/25/2025,Closed,56124
81,81,1,Cheque,5/7/2026,Dormant,26438
82,82,2,Credit,5/19/2026,Dormant,20933
83,83,3,Savings,7/23/2026,Dormant,29547
84,84,4,Credit,5/5/2026,Dormant,96203
85,85,5,Cheque,9/7/2026,Dormant,53149
86,86,6,Savings,2/11/2026,Closed,33160
87,87,7,Credit,9/15/2025,Dormant,47218
88,88,8,Credit,3/5/2026,Dormant,50033
89,89,9,Credit,11/3/2025,Active,32952
90,90,10,Savings,2/11/2026,Active,48472
91,91,1,Credit,10/25/2025,Dormant,68535
92,92,2,Savings,2/11/2026,Dormant,28012
93,93,3,Credit,10/27/2025,Active,42380
94,94,4,Credit,4/30/2026,Active,14978
95,95,5,Credit,1/23/2026,Active,22072
96,96,6,Savings,7/30/2026,Dormant,30827
97,97,7,Credit,6/10/2026,Closed,11550
98,98,8,Cheque,9/27/2025,Active,26567
99,99,9,Savings,3/4/2026,Closed,6073
100,100,10,Credit,3/19/2026,Active,22210
101,1,1,Credit,1/23/2026,Dormant,44025
102,2,2,Credit,12/25/2025,Active,21659
103,3,3,Savings,1/5/2026,Dormant,68370
104,4,4,Savings,11/6/2025,Active,36405
105,5,5,Credit,4/10/2026,Active,50808
106,6,6,Savings,4/30/2026,Active,92541
107,7,7,Savings,1/3/2026,Closed,16677
108,8,8,Credit,4/17/2026,Closed,59030
109,9,9,Savings,12/23/2025,Dormant,92227
110,10,10,Credit,5/2/2026,Closed,72448
111,11,1,Credit,1/7/2026,Closed,75866
112,12,2,Savings,3/13/2026,Closed,62636
113,13,3,Savings,5/31/2026,Closed,93232
114,14,4,Cheque,5/3/2026,Active,29712
115,15,5,Credit,2/4/2026,Closed,42461
116,16,6,Savings,5/23/2026,Closed,45669
117,17,7,Credit,4/7/2026,Active,24355
118,18,8,Credit,9/3/2026,Dormant,72394
119,19,9,Credit,4/20/2026,Closed,64270
120,20,10,Savings,4/16/2026,Dormant,57301
121,21,1,Credit,3/27/2026,Dormant,40105
122,22,2,Cheque,8/28/2026,Closed,10817
123,23,3,Credit,8/19/2026,Closed,32486
124,24,4,Cheque,10/3/2025,Active,94477
125,25,5,Savings,10/22/2025,Closed,7568
126,26,6,Credit,1/1/2026,Closed,20879
127,27,7,Credit,4/21/2026,Closed,37419
128,28,8,Savings,12/11/2025,Active,24496
129,29,9,Cheque,7/23/2026,Dormant,69145
130,30,10,Cheque,3/3/2026,Closed,26853
131,31,1,Credit,12/20/2025,Dormant,21702
132,32,2,Cheque,6/8/2026,Closed,37483
133,33,3,Savings,12/16/2025,Active,62219
134,34,4,Credit,4/23/2026,Dormant,7090
135,35,5,Credit,12/18/2025,Dormant,18173
136,36,6,Cheque,3/27/2026,Active,20218
137,37,7,Savings,2/27/2026,Active,88422
138,38,8,Savings,4/14/2026,Closed,21294
139,39,9,Cheque,2/18/2026,Active,57650
140,40,10,Savings,2/13/2026,Active,51590
141,41,1,Cheque,1/12/2026,Active,79461
142,42,2,Savings,4/19/2026,Active,54535
143,43,3,Cheque,2/8/2026,Closed,40510
144,44,4,Cheque,12/8/2025,Active,11728
145,45,5,Credit,5/12/2026,Active,47158
146,46,6,Credit,5/25/2026,Closed,91040
147,47,7,Savings,10/22/2025,Active,14555
148,48,8,Credit,4/28/2026,Dormant,67672
149,49,9,Savings,3/27/2026,Active,85748
150,50,10,Cheque,6/19/2026,Dormant,81510
