transaction_id,account_id,transaction_date,transaction_type,amount,channel,merchant_category
1,1,1/10/2026,Transfer,6473,Branch,Groceries
2,2,7/24/2026,ATM,7871,Mobile,Other
3,3,4/30/2026,Debit,9303,Web,Utilities
4,4,12/18/2025,Credit,5014,Branch,Other
5,5,1/28/2026,Transfer,6838,Branch,Utilities
6,6,6/13/2026,Debit,7376,Web,Fuel
7,7,3/24/2026,Credit,6613,Branch,Groceries
8,8,8/29/2026,Transfer,5929,Branch,Retail
9,9,8/3/2026,Credit,7592,Branch,Retail
10,10,1/8/2026,Debit,9566,ATM,Utilities
11,11,6/6/2026,Transfer,7558,Branch,Retail
12,12,12/30/2025,Debit,7818,ATM,Other
13,13,7/6/2026,Credit,5623,ATM,Groceries
14,14,2/5/2026,Debit,9401,Web,Groceries
15,15,3/1/2026,Transfer,8299,Mobile,Utilities
16,16,4/14/2026,Credit,5109,Web,Groceries
17,17,9/8/2026,ATM,6875,ATM,Utilities
18,18,6/14/2026,Debit,7098,ATM,Other
19,19,9/15/2025,Credit,8197,Branch,Retail
20,20,6/30/2026,ATM,5192,Web,Utilities
21,21,5/5/2026,Transfer,9824,Mobile,Entertainment
22,22,9/17/2025,Transfer,9531,Mobile,Utilities
23,23,12/17/2025,Debit,5805,Branch,Utilities
24,24,7/30/2026,Credit,6251,Mobile,Entertainment
25,25,4/19/2026,Credit,7285,Web,Entertainment
26,26,2/12/2026,Credit,5857,Web,Other
27,27,8/10/2026,ATM,7070,Web,Groceries
28,28,4/2/2026,Transfer,5808,Web,Fuel
29,29,7/18/2026,Credit,7935,Mobile,Entertainment
30,30,4/21/2026,Transfer,9008,ATM,Other
31,31,9/19/2025,ATM,6082,ATM,Other
32,32,11/13/2025,Debit,6385,Web,Groceries
33,33,6/9/2026,ATM,8166,ATM,Utilities
34,34,7/24/2026,Transfer,9511,Mobile,Fuel
35,35,7/2/2026,Debit,9627,Mobile,Fuel
36,36,1/26/2026,Credit,5801,Web,Entertainment
37,37,12/28/2025,Debit,9812,Branch,Utilities
38,38,10/2/2025,Credit,8413,Mobile,Entertainment
39,39,2/22/2026,Transfer,8939,ATM,Entertainment
40,40,9/9/2026,Credit,8111,ATM,Retail
41,41,5/3/2026,Credit,8305,Mobile,Groceries
42,42,4/5/2026,ATM,7817,ATM,Fuel
43,43,4/19/2026,Transfer,9672,Branch,Groceries
44,44,12/27/2025,ATM,8848,Mobile,Utilities
45,45,1/19/2026,ATM,7084,Web,Groceries
46,46,10/25/2025,ATM,7587,Web,Other
47,47,11/18/2025,Debit,5820,Mobile,Utilities
48,48,12/12/2025,Credit,5067,Branch,Utilities
49,49,5/20/2026,Debit,7959,Web,Fuel
50,50,6/8/2026,ATM,9851,ATM,Other
51,51,1/2/2026,Transfer,6716,Branch,Fuel
52,52,7/26/2026,Transfer,7525,Branch,Other
53,53,11/20/2025,Credit,5083,Branch,Entertainment
54,54,10/1/2025,Transfer,8917,Web,Fuel
55,55,8/15/2026,Transfer,5716,Mobile,Entertainment
56,56,6/29/2026,ATM,5310,ATM,Entertainment
57,57,8/23/2026,ATM,5429,Branch,Other
58,58,7/16/2026,Credit,9675,Web,Entertainment
59,59,5/30/2026,Credit,5195,Branch,Groceries
60,60,6/4/2026,Transfer,5233,Mobile,Groceries
61,61,1/4/2026,Transfer,6824,Mobile,Fuel
62,62,9/29/2025,Transfer,5957,Branch,Fuel
63,63,10/1/2025,Debit,8551,ATM,Groceries
64,64,7/7/2026,Debit,8292,Web,Utilities
65,65,9/27/2025,Transfer,5241,ATM,Entertainment
66,66,11/2/2025,Transfer,8105,Web,Groceries
67,67,12/19/2025,ATM,8628,ATM,Fuel
68,68,11/1/2025,Debit,8662,Web,Fuel
69,69,6/17/2026,Debit,5619,Web,Fuel
70,70,5/12/2026,Credit,9071,Web,Entertainment
71,71,10/16/2025,ATM,5604,Web,Fuel
72,72,3/17/2026,Credit,9104,ATM,Utilities
73,73,9/15/2025,ATM,6554,Mobile,Other
74,74,7/23/2026,Transfer,6289,ATM,Utilities
75,75,1/21/2026,Debit,6261,Web,Entertainment
76,76,12/6/2025,Credit,7114,ATM,Fuel
77,77,6/30/2026,Debit,8896,Branch,Other
78,78,10/1/2025,Debit,7516,Web,Fuel
79,79,12/4/2025,Credit,6697,ATM,Groceries
80,80,11/26/2025,Transfer,5754,Mobile,Entertainment
81,81,5/31/2026,Debit,6376,Branch,Utilities
82,82,3/21/2026,Credit,6748,Web,Groceries
83,83,8/13/2026,Transfer,6794,Mobile,Fuel
84,84,7/27/2026,ATM,9501,Web,Utilities
85,85,2/4/2026,Debit,5284,Branch,Entertainment
86,86,8/22/2026,Transfer,8612,Web,Utilities
87,87,12/13/2025,Credit,5836,ATM,Fuel
88,88,6/13/2026,Credit,8924,Web,Other
89,89,6/25/2026,Debit,9900,Web,Other
90,90,10/23/2025,Debit,6305,Mobile,Retail
91,91,2/18/2026,Credit,9961,Web,Entertainment
92,92,11/29/2025,Debit,9663,Mobile,Groceries
93,93,3/31/2026,Credit,9167,Branch,Entertainment
94,94,10/18/2025,ATM,8376,Branch,Groceries
95,95,8/11/2026,Transfer,7897,Web,Other
96,96,10/15/2025,Debit,9163,ATM,Entertainment
97,97,4/28/2026,Transfer,7555,Mobile,Utilities
98,98,1/21/2026,Credit,5546,Mobile,Entertainment
99,99,9/28/2025,Credit,5020,Web,Other
100,100,4/14/2026,Credit,6127,ATM,Utilities
101,101,12/23/2025,ATM,5649,ATM,Retail
102,102,2/20/2026,Transfer,6644,ATM,Retail
103,103,6/13/2026,Transfer,9300,ATM,Entertainment
104,104,5/4/2026,ATM,6808,ATM,Other
105,105,8/18/2026,ATM,8254,Web,Fuel
106,106,4/11/2026,ATM,8014,ATM,Entertainment
107,107,11/26/2025,ATM,8172,Web,Fuel
108,108,7/24/2026,Transfer,8189,Mobile,Retail
109,109,6/7/2026,Credit,6372,Web,Other
110,110,11/3/2025,ATM,7215,Branch,Groceries
111,111,7/18/2026,Credit,6928,ATM,Fuel
112,112,11/18/2025,Debit,5074,ATM,Fuel
113,113,8/19/2026,ATM,5681,Mobile,Other
114,114,2/20/2026,ATM,7522,Mobile,Groceries
115,115,10/17/2025,Transfer,6055,ATM,Other
116,116,1/22/2026,ATM,6554,ATM,Entertainment
